spending_data
Date;Place;Amount
2023-11-05;BREKKIE;1
2023-11-05;MORN;1
2023-11-10;COFFY;1
2023-11-15;COFFY;1
2023-11-16;STARBUCKS;1
2023-11-17;COFFY;1
2023-11-18;COFFY;1
2023-11-20;COFFY;1
2023-11-21;COFFY;1
2023-11-22;COFFY;1
2023-11-23;STARBUCKS;1
2023-11-24;COFFY;1
2023-11-27;COFFY;1
2023-12-04;COFFY;1
2023-12-05;COFFY;1
2023-12-11;COFFY;1
2023-12-13;COFFY;1
2023-12-15;COFFY;1
2023-12-18;COFFY;1
2023-12-19;STARBUCKS;1
2023-12-21;STARBUCKS;1
2023-12-22;COFFY;1
2023-12-23;STARBUCKS;1
2023-12-25;COFFY;1
2023-12-26;STARBUCKS;1
2023-12-27;COFFY;1
2023-12-28;STARBUCKS;1
2023-12-29;COFFY;1
2024-01-01;STARBUCKS;1
2024-01-03;STARBUCKS;1
2024-01-04;COFFY;1
2024-01-06;COFFY;1
2024-01-06;STARBUCKS;1
2024-01-07;STARBUCKS;1
2024-01-08;COFFY;1
2024-01-08;COFFY;1
2024-01-10;STARBUCKS;1
2024-01-14;STARBUCKS;1
2024-01-15;STARBUCKS;1
2024-01-16;STARBUCKS;1
2024-01-19;STARBUCKS;1
2024-01-24;STARBUCKS;1
2024-02-14;STARBUCKS;1
2024-02-15;COFFY;1
2024-02-16;STARBUCKS;1
2024-02-17;STARBUCKS;1
2024-02-17;STARBUCKS;1
2024-02-17;COFFY;1
2024-02-19;COFFY;1
2024-02-22;COFFY;1
2024-02-23;COFFY;1
2024-02-26;COFFY;1
2024-02-28;COFFY;1
2024-02-29;COFFY;1
2024-02-29;STARBUCKS;1
2024-03-01;STARBUCKS;1
2024-03-02;COFFY;1
2024-03-04;COFFY;1
2024-03-06;STARBUCKS;1
2024-03-08;STARBUCKS;1
2024-03-09;STARBUCKS;1
2024-03-11;COFFY;1
2024-03-13;COFFY;1
2024-03-15;STARBUCKS;1
2024-03-16;STARBUCKS;1
2024-03-17;STARBUCKS;1
2024-03-22;STARBUCKS;1
2024-03-23;STARBUCKS;1
2024-03-23;COFFY;1
2024-03-24;STARBUCKS;1
2024-03-26;COFFY;1
2024-03-28;COFFY;1
2024-03-29;STARBUCKS;1
2024-03-30;COFFY;1
2024-03-31;STARBUCKS;1
2024-04-01;COFFY;1
2024-04-02;STARBUCKS;1
2024-04-02;COFFY;1
2024-04-03;COFFY;1
2024-04-04;STARBUCKS;1
2024-04-05;STARBUCKS;1
2024-04-05;COFFY;1
2024-04-15;COFFY;1
2024-04-16;COFFY;1
2024-04-17;COFFY;1
2024-04-19;STARBUCKS;1
2024-04-21;STARBUCKS;1
2024-04-21;STARBUCKS;1
2024-04-23;STARBUCKS;1
2024-04-26;STARBUCKS;1
2024-04-26;COFFY;1
2024-04-27;STARBUCKS;1
2024-04-28;STARBUCKS;1
2024-04-30;COFFY;1
2024-05-01;STARBUCKS;1
2024-05-02;COFFY;1
2024-05-03;STARBUCKS;1
2024-05-04;STARBUCKS;1
2024-05-04;COFFY;1
2024-05-05;STARBUCKS;1
2024-05-05;COFFY;1
2024-05-07;COFFY;1
2024-05-10;STARBUCKS;1
2024-05-10;COFFY;1
2024-05-11;STARBUCKS;1
2024-05-11;COFFY;1
2024-05-12;STARBUCKS;1
2024-05-14;COFFY;1
2024-05-16;COFFY;1
2024-05-16;STARBUCKS;1
2024-05-18;STARBUCKS;1
2024-05-19;STARBUCKS;1
2024-05-20;COFFY;1
2024-05-21;COFFY;1
2024-05-23;STARBUCKS;1
2024-05-24;STARBUCKS;1
2024-05-24;COFFY;1
2024-05-25;STARBUCKS;1
2024-05-29;STARBUCKS;1
2024-05-29;COFFY;1
2024-05-30;COFFY;1
2024-05-31;STARBUCKS;1
2024-06-01;STARBUCKS;1
2024-06-01;COFFY;1
2024-06-02;STARBUCKS;1
2024-06-03;STARBUCKS;1
2024-06-04;COFFY;1
2024-06-05;STARBUCKS;1
2024-06-06;STARBUCKS;1
2024-06-07;STARBUCKS;1
2024-06-08;STARBUCKS;1
2024-06-09;STARBUCKS;1
2024-06-09;COFFY;1
2024-06-10;STARBUCKS;1
2024-06-11;STARBUCKS;1
2024-06-11;COFFY;1
2024-06-12;STARBUCKS;1
2024-09-23;COFFY;1
2024-09-24;STARBUCKS;2
2024-09-25;COFFY;1
2024-09-26;COFFY;1
